episode,difficulty,reference_depth,candidate_instances,hard_constraints,unresolved_references,groundplan_hcs,osgllm_hcs
procthor/009_valunseen/instruction_000014,easy,3,8,1,1,0.0,1.0
procthor/009_valunseen/instruction_000015,easy,2,3,2,0,1.0,0.5
procthor/009_valunseen/instruction_000016,easy,4,10,2,0,0.0,0.0
procthor/009_valunseen/instruction_000017,easy,3,10,2,0,0.0,0.0
procthor/012_valunseen/instruction_000001,easy,2,6,1,0,0.0,1.0
procthor/012_valunseen/instruction_000002,easy,3,7,2,0,0.0,0.0
procthor/012_valunseen/instruction_000003,easy,3,3,1,1,1.0,1.0
procthor/012_valunseen/instruction_000004,easy,4,6,1,0,1.0,0.0
procthor/012_valunseen/instruction_000005,easy,2,8,2,0,1.0,1.0
procthor/012_valunseen/instruction_000006,easy,2,6,1,0,1.0,1.0
procthor/012_valunseen/instruction_000007,easy,3,8,1,0,1.0,0.0
procthor/012_valunseen/instruction_000008,easy,3,8,1,0,1.0,1.0
procthor/012_valunseen/instruction_000009,easy,2,2,2,0,0.5,1.0
procthor/012_valunseen/instruction_000010,easy,3,8,2,0,1.0,0.0
procthor/012_valunseen/instruction_000011,easy,5,8,4,0,0.0,0.0
procthor/012_valunseen/instruction_000012,easy,3,8,1,0,1.0,1.0
procthor/012_valunseen/instruction_000013,easy,2,17,2,0,0.0,0.0
procthor/012_valunseen/instruction_000014,easy,3,19,1,0,0.0,0.0
procthor/012_valunseen/instruction_000015,easy,3,17,1,0,1.0,0.0
procthor/012_valunseen/instruction_000016,easy,2,5,1,0,1.0,0.0
procthor/012_valunseen/instruction_000017,easy,3,8,2,0,0.5,0.0
procthor/012_valunseen/instruction_000018,easy,1,3,1,0,1.0,1.0
procthor/015_valunseen/instruction_000001,easy,3,8,1,0,0.0,1.0
procthor/015_valunseen/instruction_000002,easy,4,60,2,0,0.0,0.0
procthor/015_valunseen/instruction_000003,easy,2,6,1,0,1.0,1.0
procthor/015_valunseen/instruction_000004,easy,1,6,2,0,1.0,0.5
procthor/015_valunseen/instruction_000005,easy,2,4,1,0,1.0,0.0
procthor/015_valunseen/instruction_000006,easy,3,7,1,0,1.0,0.0
procthor/015_valunseen/instruction_000007,easy,4,8,1,0,0.0,0.0
procthor/015_valunseen/instruction_000008,easy,4,8,1,1,1.0,0.0
procthor/015_valunseen/instruction_000009,easy,2,17,2,0,1.0,0.0
procthor/015_valunseen/instruction_000010,easy,2,5,2,0,1.0,0.0
procthor/015_valunseen/instruction_000011,easy,3,13,2,1,0.0,0.0
procthor/015_valunseen/instruction_000012,easy,3,6,1,0,1.0,0.0
procthor/015_valunseen/instruction_000013,easy,3,6,2,0,1.0,1.0
procthor/015_valunseen/instruction_000014,easy,3,8,1,0,1.0,1.0
procthor/015_valunseen/instruction_000015,easy,4,13,1,1,1.0,0.0
procthor/015_valunseen/instruction_000016,easy,2,5,2,0,0.5,0.5
procthor/015_valunseen/instruction_000017,easy,3,6,1,0,0.0,1.0
procthor/018_valunseen/instruction_000001,easy,4,5,1,0,1.0,0.0
procthor/018_valunseen/instruction_000002,easy,3,6,1,0,1.0,0.0
procthor/018_valunseen/instruction_000003,easy,2,4,1,0,1.0,1.0
procthor/018_valunseen/instruction_000004,easy,3,5,2,0,0.0,0.0
procthor/018_valunseen/instruction_000005,easy,3,52,1,0,1.0,1.0
procthor/018_valunseen/instruction_000006,easy,3,5,2,0,0.5,1.0
procthor/018_valunseen/instruction_000007,easy,2,4,1,0,0.0,1.0
procthor/018_valunseen/instruction_000008,easy,5,8,1,0,0.0,0.0
procthor/018_valunseen/instruction_000009,easy,3,6,2,0,0.0,0.0
procthor/018_valunseen/instruction_000010,easy,3,14,1,1,1.0,0.0
procthor/018_valunseen/instruction_000011,easy,2,2,2,0,1.0,0.5
procthor/018_valunseen/instruction_000012,easy,3,6,2,0,0.5,0.0
procthor/018_valunseen/instruction_000013,easy,2,7,2,1,0.0,0.0
procthor/018_valunseen/instruction_000014,easy,4,8,3,0,0.0,1.0
procthor/018_valunseen/instruction_000015,easy,3,8,2,0,0.5,0.0
procthor/018_valunseen/instruction_000016,easy,2,8,2,0,0.0,0.0
procthor/018_valunseen/instruction_000017,easy,3,6,2,1,0.0,0.0
procthor/018_valunseen/instruction_000018,easy,3,15,1,0,1.0,0.0
procthor/021_valunseen/instruction_000001,easy,3,4,1,0,1.0,1.0
procthor/021_valunseen/instruction_000002,easy,3,12,1,0,1.0,1.0
procthor/021_valunseen/instruction_000003,easy,4,17,1,0,1.0,1.0
procthor/021_valunseen/instruction_000004,easy,3,8,1,0,1.0,1.0
procthor/021_valunseen/instruction_000005,easy,3,8,2,0,1.0,0.0
procthor/021_valunseen/instruction_000006,easy,3,8,1,0,0.0,1.0
procthor/021_valunseen/instruction_000007,easy,3,5,1,0,0.0,1.0
procthor/021_valunseen/instruction_000008,easy,3,8,2,0,0.0,0.0
procthor/021_valunseen/instruction_000009,easy,2,4,1,0,1.0,0.0
procthor/021_valunseen/instruction_000010,easy,4,2,1,0,1.0,1.0
procthor/021_valunseen/instruction_000011,easy,3,17,1,0,0.0,0.0
procthor/021_valunseen/instruction_000012,easy,3,3,2,0,0.0,1.0
procthor/021_valunseen/instruction_000013,easy,3,17,2,0,1.0,0.0
procthor/021_valunseen/instruction_000014,easy,3,4,1,0,0.0,0.0
procthor/021_valunseen/instruction_000015,easy,2,17,1,0,0.0,1.0
procthor/021_valunseen/instruction_000016,easy,3,8,2,0,0.0,0.0
procthor/021_valunseen/instruction_000017,easy,1,4,2,0,0.0,0.0
procthor/024_valunseen/instruction_000001,easy,2,17,1,0,1.0,0.0
procthor/024_valunseen/instruction_000002,easy,3,3,1,0,0.0,1.0
procthor/024_valunseen/instruction_000003,easy,3,8,2,0,0.0,0.0
procthor/024_valunseen/instruction_000004,easy,3,17,2,0,0.0,0.0
procthor/024_valunseen/instruction_000005,easy,3,4,2,0,0.0,0.0
procthor/024_valunseen/instruction_000006,easy,2,4,1,0,1.0,1.0
procthor/024_valunseen/instruction_000007,easy,3,3,1,0,1.0,0.0
procthor/024_valunseen/instruction_000008,easy,3,8,1,0,1.0,1.0
procthor/024_valunseen/instruction_000009,easy,3,6,1,0,0.0,0.0
procthor/024_valunseen/instruction_000010,easy,2,5,1,0,0.0,1.0
procthor/024_valunseen/instruction_000011,easy,3,6,1,0,1.0,1.0
procthor/024_valunseen/instruction_000012,easy,2,4,1,0,0.0,0.0
procthor/024_valunseen/instruction_000013,easy,3,4,3,0,0.0,0.0
procthor/024_valunseen/instruction_000014,easy,4,6,1,0,1.0,0.0
procthor/024_valunseen/instruction_000015,easy,2,2,2,0,1.0,0.5
procthor/024_valunseen/instruction_000016,easy,2,17,2,0,0.0,0.0
procthor/024_valunseen/instruction_000017,easy,2,4,2,0,0.5,0.0
procthor/024_valunseen/instruction_000018,easy,3,226,2,0,1.0,0.5
procthor/027_valunseen/instruction_000001,easy,3,3,1,0,1.0,0.0
procthor/027_valunseen/instruction_000002,easy,3,8,1,0,0.0,1.0
procthor/027_valunseen/instruction_000003,easy,3,8,1,0,1.0,0.0
procthor/027_valunseen/instruction_000004,easy,2,6,1,0,0.0,0.0
procthor/027_valunseen/instruction_000005,easy,2,4,1,0,0.0,0.0
procthor/027_valunseen/instruction_000006,easy,3,8,1,0,0.0,0.0
procthor/027_valunseen/instruction_000007,easy,3,3,1,0,1.0,0.0
procthor/027_valunseen/instruction_000008,easy,3,6,4,0,0.0,0.0
procthor/027_valunseen/instruction_000009,easy,5,8,2,0,0.0,0.0
procthor/027_valunseen/instruction_000010,easy,2,17,1,0,1.0,1.0
procthor/027_valunseen/instruction_000011,easy,3,6,2,0,1.0,0.5
procthor/027_valunseen/instruction_000012,easy,3,6,2,0,1.0,0.5
procthor/027_valunseen/instruction_000013,easy,2,6,2,0,1.0,0.0
procthor/027_valunseen/instruction_000014,easy,3,6,2,0,0.5,0.5
procthor/027_valunseen/instruction_000015,easy,3,60,1,0,0.0,1.0
procthor/027_valunseen/instruction_000016,easy,2,6,1,0,1.0,0.0
procthor/027_valunseen/instruction_000017,easy,3,2,3,0,0.3333333333333333,0.0
procthor/027_valunseen/instruction_000018,easy,3,8,3,0,1.0,0.0
procthor/030_valunseen/instruction_000001,easy,3,16,1,0,0.0,0.0
procthor/030_valunseen/instruction_000002,easy,3,5,1,0,1.0,1.0
procthor/030_valunseen/instruction_000003,easy,3,4,1,0,1.0,1.0
procthor/030_valunseen/instruction_000004,easy,3,70,2,0,0.0,0.0
procthor/030_valunseen/instruction_000005,easy,2,16,1,0,0.0,0.0
procthor/030_valunseen/instruction_000006,easy,2,5,1,0,1.0,1.0
procthor/030_valunseen/instruction_000007,easy,3,16,1,0,1.0,1.0
procthor/030_valunseen/instruction_000008,easy,4,17,1,0,0.0,0.0
procthor/030_valunseen/instruction_000009,easy,2,4,2,0,1.0,1.0
procthor/030_valunseen/instruction_000010,easy,5,8,2,0,1.0,0.5
procthor/030_valunseen/instruction_000011,easy,2,5,1,0,1.0,1.0
procthor/030_valunseen/instruction_000012,easy,3,3,1,0,1.0,0.0
procthor/030_valunseen/instruction_000013,easy,3,6,4,0,0.0,1.0
procthor/030_valunseen/instruction_000014,easy,4,8,2,0,1.0,1.0
procthor/030_valunseen/instruction_000015,easy,2,3,3,0,1.0,0.6666666666666666
procthor/030_valunseen/instruction_000016,easy,3,16,3,0,0.0,0.0
procthor/030_valunseen/instruction_000017,easy,1,2,1,0,1.0,1.0
procthor/033_valunseen/instruction_000001,easy,2,5,1,0,1.0,1.0
procthor/033_valunseen/instruction_000002,easy,2,5,1,0,0.0,0.0
procthor/033_valunseen/instruction_000003,easy,3,10,2,0,1.0,0.0
procthor/033_valunseen/instruction_000004,easy,2,5,1,0,1.0,0.0
procthor/033_valunseen/instruction_000005,easy,4,20,1,0,0.0,1.0
procthor/033_valunseen/instruction_000006,easy,2,2,1,0,1.0,0.0
procthor/033_valunseen/instruction_000007,easy,4,10,2,0,1.0,0.5
procthor/033_valunseen/instruction_000008,easy,3,10,2,0,1.0,0.5
procthor/033_valunseen/instruction_000009,easy,4,320,1,0,0.0,0.0
procthor/033_valunseen/instruction_000010,easy,3,5,2,0,0.0,0.0
procthor/033_valunseen/instruction_000011,easy,4,20,1,0,0.0,0.0
procthor/033_valunseen/instruction_000012,easy,3,5,1,0,1.0,1.0
procthor/033_valunseen/instruction_000013,easy,2,5,2,0,1.0,0.0
procthor/033_valunseen/instruction_000014,easy,3,10,5,0,0.0,0.0
procthor/033_valunseen/instruction_000015,easy,4,10,1,0,1.0,0.0
procthor/033_valunseen/instruction_000016,easy,2,10,2,0,0.0,0.5
procthor/033_valunseen/instruction_000017,easy,3,4,1,0,1.0,0.0
procthor/033_valunseen/instruction_000018,easy,2,5,1,0,1.0,1.0
procthor/036_valunseen/instruction_000001,easy,2,6,1,0,1.0,1.0
procthor/036_valunseen/instruction_000002,easy,4,26,1,0,1.0,0.0
procthor/036_valunseen/instruction_000003,easy,2,4,1,0,1.0,1.0
procthor/036_valunseen/instruction_000004,easy,2,3,2,0,1.0,0.0
procthor/036_valunseen/instruction_000005,easy,5,8,1,0,1.0,0.0
procthor/036_valunseen/instruction_000006,easy,3,293,1,0,1.0,0.0
procthor/036_valunseen/instruction_000007,easy,3,8,2,0,1.0,0.0
procthor/036_valunseen/instruction_000008,easy,3,8,1,0,1.0,0.0
procthor/036_valunseen/instruction_000009,easy,3,8,2,0,1.0,0.5
procthor/036_valunseen/instruction_000010,easy,3,8,2,0,1.0,0.0
procthor/036_valunseen/instruction_000011,easy,2,6,4,0,1.0,0.5
procthor/036_valunseen/instruction_000012,easy,3,68,1,0,1.0,1.0
procthor/036_valunseen/instruction_000013,easy,3,6,4,0,0.0,0.0
procthor/036_valunseen/instruction_000014,easy,3,293,1,0,1.0,1.0
procthor/036_valunseen/instruction_000015,easy,4,26,1,0,0.0,0.0
procthor/036_valunseen/instruction_000016,easy,3,6,2,0,1.0,1.0
procthor/036_valunseen/instruction_000017,easy,2,6,2,0,0.0,0.5
procthor/039_valunseen/instruction_000001,easy,3,7,1,0,0.0,1.0
procthor/039_valunseen/instruction_000002,easy,5,23,2,0,1.0,0.0
procthor/039_valunseen/instruction_000003,easy,4,23,1,0,1.0,0.0
procthor/039_valunseen/instruction_000004,easy,2,6,2,0,1.0,0.0
procthor/039_valunseen/instruction_000005,easy,3,6,1,0,1.0,1.0
procthor/039_valunseen/instruction_000006,easy,4,23,1,0,0.0,0.0
procthor/039_valunseen/instruction_000007,easy,2,7,2,0,0.0,0.5
procthor/039_valunseen/instruction_000008,easy,4,23,1,0,1.0,0.0
procthor/039_valunseen/instruction_000009,easy,4,3,2,0,1.0,1.0
procthor/039_valunseen/instruction_000010,easy,5,10,1,0,0.0,0.0
procthor/039_valunseen/instruction_000011,easy,2,7,1,0,1.0,0.0
procthor/039_valunseen/instruction_000012,easy,3,4,1,0,1.0,1.0
procthor/039_valunseen/instruction_000013,easy,3,7,1,0,1.0,0.0
procthor/039_valunseen/instruction_000014,easy,2,3,3,0,1.0,0.0
procthor/039_valunseen/instruction_000015,easy,4,6,1,0,0.0,0.0
procthor/039_valunseen/instruction_000016,easy,4,10,1,0,1.0,1.0
procthor/039_valunseen/instruction_000017,easy,2,6,3,0,0.0,0.0
procthor/039_valunseen/instruction_000018,easy,4,23,1,0,0.0,1.0
procthor/042_valunseen/instruction_000001,easy,2,3,1,0,1.0,1.0
procthor/042_valunseen/instruction_000002,easy,3,3,2,0,0.0,0.0
procthor/042_valunseen/instruction_000003,easy,2,11,1,0,1.0,0.0
procthor/042_valunseen/instruction_000004,easy,2,282,2,0,1.0,0.0
procthor/042_valunseen/instruction_000005,easy,2,7,2,0,0.0,0.0
procthor/042_valunseen/instruction_000006,easy,2,5,1,0,0.0,1.0
procthor/042_valunseen/instruction_000007,easy,3,14,1,0,1.0,0.0
procthor/042_valunseen/instruction_000008,easy,4,5,2,0,1.0,0.5
procthor/042_valunseen/instruction_000009,easy,3,8,2,0,0.5,0.0
procthor/042_valunseen/instruction_000010,easy,4,17,1,0,1.0,0.0
procthor/042_valunseen/instruction_000011,easy,2,5,3,0,0.0,0.0
procthor/042_valunseen/instruction_000012,easy,2,9,2,0,0.5,0.0
procthor/042_valunseen/instruction_000013,easy,2,5,1,0,0.0,1.0
procthor/042_valunseen/instruction_000014,easy,4,7,2,0,0.0,1.0
procthor/042_valunseen/instruction_000015,easy,6,5,2,0,1.0,0.5
procthor/042_valunseen/instruction_000016,easy,4,7,2,0,0.5,0.0
procthor/042_valunseen/instruction_000017,easy,2,4,1,0,1.0,1.0
procthor/045_valunseen/instruction_000001,easy,3,9,1,0,0.0,0.0
procthor/045_valunseen/instruction_000002,easy,3,2,1,0,1.0,1.0
procthor/045_valunseen/instruction_000003,easy,5,6,1,0,1.0,1.0
procthor/045_valunseen/instruction_000004,easy,3,3,1,0,1.0,1.0
procthor/045_valunseen/instruction_000005,easy,4,4,1,0,1.0,0.0
procthor/045_valunseen/instruction_000006,easy,3,2,1,0,1.0,1.0
procthor/045_valunseen/instruction_000007,easy,3,2,1,0,1.0,1.0
procthor/045_valunseen/instruction_000008,easy,4,9,1,0,0.0,0.0
procthor/045_valunseen/instruction_000009,easy,3,9,1,0,1.0,1.0
procthor/045_valunseen/instruction_000010,easy,3,2,1,0,1.0,1.0
procthor/045_valunseen/instruction_000011,easy,4,4,1,0,1.0,1.0
procthor/045_valunseen/instruction_000012,easy,3,4,1,0,1.0,1.0
procthor/045_valunseen/instruction_000013,easy,4,4,1,0,1.0,1.0
procthor/045_valunseen/instruction_000014,easy,4,9,1,0,1.0,1.0
procthor/045_valunseen/instruction_000015,easy,5,9,1,0,1.0,1.0
procthor/045_valunseen/instruction_000016,easy,4,4,1,0,1.0,0.0
procthor/045_valunseen/instruction_000017,easy,5,4,1,0,1.0,0.0
procthor/048_valunseen/instruction_000001,easy,3,4,2,0,1.0,0.0
procthor/048_valunseen/instruction_000002,easy,3,4,1,0,1.0,1.0
procthor/048_valunseen/instruction_000003,easy,3,4,3,0,1.0,1.0
procthor/048_valunseen/instruction_000004,easy,3,3,1,0,1.0,1.0
procthor/048_valunseen/instruction_000005,easy,3,5,2,0,1.0,1.0
procthor/048_valunseen/instruction_000006,easy,4,5,2,0,0.0,1.0
procthor/048_valunseen/instruction_000007,easy,4,12,2,0,1.0,0.5
procthor/048_valunseen/instruction_000008,easy,3,3,1,0,1.0,1.0
procthor/048_valunseen/instruction_000009,easy,3,5,3,0,1.0,0.0
procthor/048_valunseen/instruction_000010,easy,4,12,1,0,1.0,0.0
procthor/048_valunseen/instruction_000011,easy,5,12,2,1,0.5,0.0
procthor/048_valunseen/instruction_000012,easy,3,17,2,0,1.0,0.5
procthor/048_valunseen/instruction_000013,easy,4,3,2,0,1.0,0.0
procthor/048_valunseen/instruction_000014,easy,3,4,1,0,1.0,1.0
procthor/048_valunseen/instruction_000015,easy,4,4,3,0,0.6666666666666666,1.0
procthor/048_valunseen/instruction_000016,easy,4,8,1,0,1.0,1.0
procthor/048_valunseen/instruction_000017,easy,4,4,2,0,0.5,0.5
procthor/048_valunseen/instruction_000018,easy,3,5,2,0,1.0,1.0
procthor/051_valunseen/instruction_000001,easy,3,2,1,0,1.0,0.0
procthor/051_valunseen/instruction_000002,easy,1,1,1,0,1.0,1.0
procthor/051_valunseen/instruction_000003,easy,2,5,1,0,1.0,1.0
procthor/051_valunseen/instruction_000004,easy,1,2,1,0,1.0,1.0
procthor/051_valunseen/instruction_000005,easy,4,6,1,0,1.0,1.0
procthor/051_valunseen/instruction_000006,easy,2,3,1,0,0.0,1.0
procthor/051_valunseen/instruction_000007,easy,4,8,1,0,1.0,1.0
procthor/051_valunseen/instruction_000008,easy,5,8,1,0,0.0,0.0
procthor/051_valunseen/instruction_000009,easy,2,4,2,0,0.0,0.0
procthor/051_valunseen/instruction_000010,easy,3,6,2,0,0.0,1.0
procthor/051_valunseen/instruction_000011,easy,2,6,2,0,1.0,0.5
procthor/051_valunseen/instruction_000012,easy,3,3,2,0,1.0,1.0
procthor/051_valunseen/instruction_000013,easy,3,4,3,0,1.0,0.0
procthor/051_valunseen/instruction_000014,easy,4,247,4,0,0.5,0.5
procthor/051_valunseen/instruction_000015,easy,4,247,2,0,0.0,1.0
procthor/051_valunseen/instruction_000016,easy,4,8,2,0,1.0,0.0
procthor/051_valunseen/instruction_000017,easy,2,247,1,0,1.0,1.0
procthor/051_valunseen/instruction_000018,easy,2,2,1,0,1.0,1.0
procthor/054_valunseen/instruction_000001,easy,3,12,2,0,0.0,1.0
procthor/054_valunseen/instruction_000002,easy,3,3,2,0,0.0,0.0
procthor/054_valunseen/instruction_000003,easy,4,4,2,0,1.0,1.0
procthor/054_valunseen/instruction_000004,easy,2,2,2,0,1.0,0.5
procthor/054_valunseen/instruction_000005,easy,3,8,2,0,0.5,0.0
procthor/054_valunseen/instruction_000006,easy,4,277,2,0,1.0,0.0
procthor/054_valunseen/instruction_000007,easy,2,1,1,1,0.0,0.0
procthor/054_valunseen/instruction_000008,easy,1,2,2,0,0.0,1.0
procthor/054_valunseen/instruction_000009,easy,2,277,2,0,0.0,1.0
procthor/054_valunseen/instruction_000010,easy,3,4,2,0,0.0,0.0
procthor/054_valunseen/instruction_000011,easy,3,2,3,0,1.0,0.0
procthor/054_valunseen/instruction_000012,easy,2,3,4,0,0.0,0.0
procthor/054_valunseen/instruction_000013,easy,2,3,3,0,0.0,0.0
procthor/054_valunseen/instruction_000014,easy,4,3,1,0,1.0,1.0
procthor/054_valunseen/instruction_000015,easy,1,3,2,0,0.0,0.0
procthor/054_valunseen/instruction_000016,easy,3,12,1,0,0.0,1.0
procthor/054_valunseen/instruction_000017,easy,3,3,2,0,1.0,0.0
procthor/057_valunseen/instruction_000001,easy,3,4,1,0,1.0,0.0
procthor/057_valunseen/instruction_000002,easy,3,11,1,0,1.0,1.0
procthor/057_valunseen/instruction_000003,easy,4,5,1,0,0.0,1.0
procthor/057_valunseen/instruction_000004,easy,3,11,1,1,0.0,0.0
procthor/057_valunseen/instruction_000005,easy,2,2,1,0,0.0,1.0
procthor/057_valunseen/instruction_000006,easy,3,17,1,0,1.0,0.0
procthor/057_valunseen/instruction_000007,easy,3,6,3,0,0.5,1.0
procthor/057_valunseen/instruction_000008,easy,4,5,2,0,0.5,0.5
procthor/057_valunseen/instruction_000009,easy,2,6,1,0,0.0,1.0
procthor/057_valunseen/instruction_000010,easy,4,10,2,0,1.0,0.5
procthor/057_valunseen/instruction_000011,easy,7,80,2,0,0.0,0.0
procthor/057_valunseen/instruction_000012,easy,3,6,2,0,0.5,1.0
procthor/057_valunseen/instruction_000013,easy,4,80,2,0,0.0,0.0
procthor/057_valunseen/instruction_000014,easy,2,4,1,0,0.0,0.0
procthor/057_valunseen/instruction_000015,easy,3,3,2,0,1.0,0.0
procthor/057_valunseen/instruction_000016,easy,3,5,2,0,0.0,0.0
procthor/057_valunseen/instruction_000017,easy,4,4,2,0,1.0,0.0
procthor/057_valunseen/instruction_000018,easy,4,11,2,0,0.0,0.0
procthor/060_valunseen/instruction_000001,easy,3,21,1,0,1.0,0.0
procthor/060_valunseen/instruction_000002,easy,4,8,1,0,1.0,1.0
procthor/060_valunseen/instruction_000003,easy,3,8,1,0,1.0,0.0
procthor/060_valunseen/instruction_000004,easy,4,15,1,0,1.0,0.0
procthor/060_valunseen/instruction_000005,easy,2,6,1,0,1.0,1.0
procthor/060_valunseen/instruction_000006,easy,5,8,3,0,0.0,0.0
procthor/060_valunseen/instruction_000007,easy,5,8,2,0,0.0,0.0
procthor/060_valunseen/instruction_000008,easy,4,21,1,0,1.0,0.0
procthor/060_valunseen/instruction_000009,easy,2,6,2,0,0.0,0.0
procthor/060_valunseen/instruction_000010,easy,3,3,1,0,1.0,1.0
procthor/060_valunseen/instruction_000011,easy,4,8,3,0,1.0,0.0
procthor/060_valunseen/instruction_000012,easy,1,2,1,0,1.0,1.0
procthor/060_valunseen/instruction_000013,easy,2,4,1,0,1.0,1.0
procthor/060_valunseen/instruction_000014,easy,1,7,3,0,0.0,0.0
procthor/060_valunseen/instruction_000015,easy,3,8,2,1,1.0,1.0
procthor/060_valunseen/instruction_000016,easy,4,21,1,0,1.0,0.0
procthor/060_valunseen/instruction_000017,easy,2,2,2,0,0.0,0.0
procthor/063_valunseen/instruction_000001,easy,4,10,1,0,1.0,0.0
procthor/063_valunseen/instruction_000002,easy,4,4,1,0,0.0,1.0
procthor/063_valunseen/instruction_000003,easy,4,10,1,0,1.0,1.0
procthor/063_valunseen/instruction_000004,easy,5,70,1,0,1.0,0.0
procthor/063_valunseen/instruction_000005,easy,4,10,2,0,0.0,0.0
procthor/063_valunseen/instruction_000006,easy,1,1,1,0,1.0,1.0
procthor/063_valunseen/instruction_000007,easy,3,4,1,0,0.0,1.0
procthor/063_valunseen/instruction_000008,easy,2,17,1,0,1.0,1.0
procthor/063_valunseen/instruction_000009,easy,2,3,2,0,1.0,0.0
procthor/063_valunseen/instruction_000010,easy,3,4,1,0,0.0,0.0
procthor/063_valunseen/instruction_000011,easy,2,4,2,0,1.0,0.5
procthor/063_valunseen/instruction_000012,easy,2,10,1,0,0.0,0.0
procthor/063_valunseen/instruction_000013,easy,2,2,1,0,1.0,1.0
procthor/063_valunseen/instruction_000014,easy,2,4,1,0,1.0,1.0
procthor/063_valunseen/instruction_000015,easy,4,10,3,0,1.0,0.0
procthor/063_valunseen/instruction_000016,easy,4,70,1,0,0.0,1.0
procthor/063_valunseen/instruction_000017,easy,2,6,2,2,1.0,1.0
procthor/063_valunseen/instruction_000018,easy,2,4,1,0,0.0,0.0
procthor/066_valunseen/instruction_000001,easy,2,3,1,0,1.0,1.0
procthor/066_valunseen/instruction_000002,easy,3,17,1,0,0.0,0.0
procthor/066_valunseen/instruction_000003,easy,3,6,1,0,1.0,0.0
procthor/066_valunseen/instruction_000004,easy,5,8,1,0,1.0,0.0
procthor/066_valunseen/instruction_000005,easy,2,5,1,0,0.0,1.0
procthor/066_valunseen/instruction_000006,easy,4,5,1,0,1.0,1.0
